Toronto,
Toronto,72%
Toronto,0%
Toronto,5 km/h
Newmarket,
Newmarket,84%
Newmarket,0%
Newmarket,5 km/h
Aurora,
Aurora,86%
Aurora,0%
Aurora,5 km/h
Vancouver,
Vancouver,96%
Vancouver,48%
Vancouver,13 km/h
Toronto,
Toronto,70%
Toronto,30%
Toronto,42 km/h
Newmarket,
Newmarket,69%
Newmarket,57%
Newmarket,24 km/h
Aurora,
Aurora,68%
Aurora,34%
Aurora,24 km/h
Vancouver,
Vancouver,100%
Vancouver,0%
Vancouver,0 km/h
Toronto,
Toronto,63%
Toronto,15%
Toronto,32 km/h
Newmarket,
Newmarket,66%
Newmarket,15%
Newmarket,23 km/h
Aurora,
Aurora,66%
Aurora,15%
Aurora,23 km/h
Vancouver,
Vancouver,94%
Vancouver,37%
Vancouver,13 km/h
